unit,physact,c_birth,sex,age,time\geo	EU27_2020 	EU28 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	IS 	NO 	UK 	TR 
PC,MV_AERO,EU28_FOR,T,TOTAL,2014	31.8 	32.3 	: u	18.6 	52.4 	44.3 	5.6 u	28.5 	19.6 	31.3 	18.2 	17.4 	14.3 	32.1 	16.8 	: u	35.6 	26.9 	48.8 	48.6 	12.6 	30.0 	0 	24.0 	24.2 	43.9 	49.1 	56.8 	57.4 	34.9 	5.7 
PC,MV_AERO,EU28_FOR,T,Y15-24,2014	44.4 	41.1 	: u	: u	: u	57.9 u	: u	33.8 u	: u	31.2 u	: u	: u	32.1 	39.0 u	0 	0 	47.5 u	: u	: u	67.2 u	: u	55.1 u	0 	: u	: u	: u	59.5 u	68.2 u	52.6 u	: u	: u
PC,MV_AERO,EU28_FOR,T,Y18-24,2014	41.3 	38.9 	: u	: u	: u	57.7 u	: u	30.6 u	: u	22.0 u	: u	: u	27.8 u	30.9 u	0 	0 	46.0 u	: u	: u	72.1 u	: u	: u	0 	: u	: u	: u	: u	60.7 u	60.2 u	: u	: u
PC,MV_AERO,EU28_FOR,T,Y18-29,2014	39.5 	39.1 	: u	: u	58.8 u	55.7 	: u	33.7 u	19.8 u	31.5 	23.4 u	: u	19.0 	27.8 	: u	0 	42.3 	: u	: u	59.1 	: u	55.9 u	0 	: u	: u	: u	64.8 u	71.1 u	71.6 	37.7 	: u
PC,MV_AERO,EU28_FOR,T,Y18-44,2014	34.5 	35.7 	: u	34.4 u	54.2 	49.5 	: u	32.5 	16.3 	30.4 	22.2 	21.5 u	16.2 	25.4 	: u	: u	34.7 	35.1 u	39.8 u	50.9 	: u	28.7 	0 	45.4 u	: u	47.8 	57.5 	60.9 	58.3 	39.7 	8.5 
PC,MV_AERO,EU28_FOR,T,Y18-64,2014	33.0 	33.9 	: u	28.9 	52.5 	46.0 	8.9 u	30.2 	17.6 	30.3 	21.2 	17.7 	14.2 	29.7 	19.9 	: u	34.8 	33.6 	48.7 	50.5 	33.7 u	29.7 	0 	31.0 	32.8 u	42.1 	52.0 	55.6 	59.6 	38.0 	6.2 
PC,MV_AERO,EU28_FOR,T,Y25-34,2014	35.9 	37.5 	: u	: u	54.7 u	55.9 	: u	34.2 	8.5 u	32.3 	24.3 u	: u	10.8 	20.7 	: u	0 	35.5 	: u	: u	51.5 	: u	43.6 	0 	: u	: u	: u	53.6 	59.9 u	57.3 	41.2 	6.0 u
PC,MV_AERO,EU28_FOR,T,Y25-64,2014	32.4 	33.5 	: u	30.0 	51.2 	45.3 	9.8 u	30.2 	16.2 	31.1 	20.7 	15.9 	13.0 	29.6 	19.9 	: u	34.1 	31.8 	51.0 	48.3 	: u	27.8 	0 	28.4 	30.0 u	40.9 	51.1 	54.9 	59.5 	38.8 	6.3 
PC,MV_AERO,EU28_FOR,T,Y35-44,2014	31.5 	33.0 	: u	: u	51.4 u	41.6 	: u	31.3 	16.7 	30.9 	17.4 u	: u	17.9 	27.8 	: u	: u	31.7 	: u	39.0 u	43.4 	: u	18.3 	0 	33.8 u	: u	53.8 u	58.0 	62.2 u	58.9 	40.2 	11.7 u
PC,MV_AERO,EU28_FOR,T,Y45-54,2014	30.3 	30.7 	: u	: u	54.5 u	43.4 	: u	26.3 	18.4 u	30.2 	17.6 	: u	10.2 	41.0 	12.4 u	: u	34.6 	33.7 u	: u	49.6 	: u	31.3 	0 	23.4 u	: u	: u	48.3 	47.8 u	66.5 	34.0 	4.6 u
PC,MV_AERO,EU28_FOR,T,Y45-64,2014	31.0 	31.0 	: u	23.6 u	47.8 u	42.5 	: u	25.4 	19.7 	30.3 	20.5 	11.2 u	10.5 	39.2 	10.4 u	: u	34.9 u	31.0 u	57.6 u	49.8 	: u	33.9 	0 	22.0 	23.0 u	24.3 u	46.2 	43.6 	63.3 	30.9 	3.4 
PC,MV_AERO,EU28_FOR,T,Y55-64,2014	31.9 	31.4 	: u	25.3 u	39.1 u	41.4 	: u	23.5 	: u	30.6 	23.4 	: u	11.2 	35.2 	8.7 u	: u	35.4 u	: u	51.0 u	50.0 	: u	43.0 u	0 	21.2 u	28.4 u	: u	56.3 u	: u	58.4 u	25.1 	2.1 u
PC,MV_AERO,EU28_FOR,T,Y65-74,2014	30.7 	30.5 	0 	5.3 u	57.5 u	46.6 	: u	3.6 	: u	31.0 u	13.4 	: u	7.7 u	51.6 	12.7 u	: u	43.3 u	: u	40.8 u	52.4 	5.1 u	34.5 u	0 	18.1 	17.7 u	: u	52.3 u	: u	46.1 u	28.4 	5.6 u
PC,MV_AERO,EU28_FOR,T,Y_GE18,2014	31.4 	32.0 	: u	18.6 	52.0 	44.2 	6.1 u	28.0 	17.8 	30.6 	17.7 	16.4 	13.6 	31.1 	16.8 	: u	35.3 	26.9 	47.6 	48.7 	12.7 	29.5 	0 	23.7 	24.2 	40.7 	49.2 	55.2 	58.1 	35.3 	5.8 
PC,MV_AERO,EU28_FOR,T,Y_GE65,2014	25.0 	24.3 	: u	3.5 	49.5 u	38.1 	: u	6.0 	: u	32.1 	11.2 	: u	5.2 	42.4 	11.5 	: u	38.5 u	10.0 u	44.1 u	41.9 	2.7 	26.8 	0 	14.0 	13.0 u	: u	42.8 u	: u	44.5 	18.6 	4.3 u
PC,MV_AERO,EU28_FOR,T,Y_GE75,2014	16.6 	15.7 	: u	1.5 u	: u	22.9 	: u	11.1 u	: u	: u	8.7 	: u	: u	: u	: u	: u	27.9 u	: u	: u	30.5 	0 u	22.2 u	0 	8.1 u	7.7 u	: u	31.7 u	: u	: u	10.3 	: u
PC,MV_AERO,FOR,F,TOTAL,2014	25.1 	25.6 	: u	11.2 	51.7 	39.9 	9.1 	21.8 	14.0 	26.6 	14.9 	14.5 	12.8 	28.1 	12.2 	6.1 	32.4 	24.7 	50.5 	40.7 	13.9 	17.3 	: u	23.0 	19.9 	39.7 	43.6 	56.5 	50.6 	28.2 	2.7 
PC,MV_AERO,FOR,F,Y15-24,2014	35.0 	36.1 	: u	: u	: u	64.7 	: u	27.8 u	: u	21.7 	26.2 u	: u	19.8 	28.7 u	: u	0 	27.2 	: u	: u	54.2 u	: u	37.7 u	: u	: u	: u	: u	58.7 	73.8 u	68.2 	40.0 u	: u
PC,MV_AERO,FOR,F,Y18-24,2014	31.9 	34.8 	: u	: u	: u	62.4 	: u	: u	: u	88.3 	17.4 u	: u	20.1 	21.8 u	: u	0 	23.4 u	: u	: u	57.0 u	: u	44.3 u	: u	: u	: u	: u	53.0 u	: u	68.3 u	42.8 u	: u
PC,MV_AERO,FOR,F,Y18-29,2014	31.8 	33.2 	: u	: u	65.3 u	52.3 	: u	20.3 	15.3 u	24.1 	22.3 	18.4 u	17.4 	27.6 	: u	: u	26.5 	: u	: u	42.9 	: u	31.5 	: u	39.2 u	: u	: u	48.4 	73.1 u	53.1 	37.8 	3.8 u
PC,MV_AERO,FOR,F,Y18-44,2014	26.2 	27.2 	: u	13.1 u	52.8 	43.9 	18.6 u	22.5 	14.8 	23.3 	14.3 	10.1 	14.4 	25.7 	27.1 	: u	29.3 	29.7 u	49.0 	37.5 	: u	18.5 	: u	30.1 	: u	42.0 	43.1 	59.5 	52.4 	31.4 	6.3 
PC,MV_AERO,FOR,F,Y18-64,2014	26.3 	26.9 	: u	16.0 	51.2 	43.0 	13.2 	22.4 	13.6 	25.9 	17.0 	13.6 	13.0 	27.7 	17.4 	9.9 	32.1 	31.0 	54.2 	39.9 	42.5 u	18.7 	: u	75.2 	28.9 u	39.3 	43.1 	55.6 	51.5 	29.7 	3.5 
PC,MV_AERO,FOR,F,Y25-34,2014	25.5 	26.5 	: u	: u	51.9 	39.7 	: u	20.9 	19.1 	23.5 	15.4 	8.3 u	13.9 	25.7 	48.5 u	: u	28.0 	: u	51.2 u	31.3 	: u	21.0 	0 	33.0 u	: u	47.0 u	43.2 	61.6 u	47.8 	30.2 	6.5 u
PC,MV_AERO,FOR,F,Y25-64,2014	25.8 	26.1 	: u	16.5 u	49.6 	41.3 	13.3 	22.0 	13.6 	27.3 	17.0 	13.0 	12.4 	28.2 	16.9 	9.9 	32.8 	33.0 u	55.0 	38.1 	43.6 u	16.4 	0 	23.6 	24.6 u	40.5 	42.1 	53.9 	49.7 	27.8 	3.7 
PC,MV_AERO,FOR,F,Y35-44,2014	25.2 	25.6 	: u	: u	49.0 	42.2 	18.4 u	23.3 	10.0 	26.3 	12.4 	8.6 u	13.4 	26.5 	11.5 u	: u	31.9 	: u	49.7 u	37.5 	: u	11.6 	0 	23.9 u	: u	41.5 u	39.8 	53.7 u	52.6 	27.5 	8.1 u
PC,MV_AERO,FOR,F,Y45-54,2014	26.1 	25.7 	: u	: u	51.3 u	43.3 	20.3 	20.9 	12.1 	33.5 	12.9 	14.0 	10.2 	32.5 	13.2 	18.1 u	35.0 u	: u	68.2 u	39.7 	: u	22.8 	0 	19.1 	: u	37.0 u	46.6 	50.0 u	53.7 	23.4 	0 u
PC,MV_AERO,FOR,F,Y45-64,2014	26.5 	26.3 	: u	20.9 u	47.8 	41.5 	11.8 	22.0 	11.8 	32.3 	19.9 	16.3 	10.7 	33.6 	14.5 	8.0 	36.6 u	33.6 u	61.3 u	44.4 	: u	19.0 	0 	20.9 	19.1 u	34.2 u	43.0 u	47.1 u	49.0 	25.1 	0 
PC,MV_AERO,FOR,F,Y55-64,2014	27.0 	27.2 	: u	: u	43.2 u	39.1 	6.5 	24.6 	11.2 u	29.5 	26.3 	19.0 u	11.6 	36.2 u	15.4 	2.3 u	39.6 u	: u	: u	50.7 	: u	11.7 	0 	22.6 	: u	: u	36.4 u	: u	40.4 u	28.4 	0 u
PC,MV_AERO,FOR,F,Y65-74,2014	23.1 	23.5 	: u	3.8 u	: u	36.4 	6.3 	7.0 	4.7 u	32.2 u	12.6 	11.8 u	9.8 	30.6 u	6.4 	2.2 u	36.8 u	: u	: u	55.6 	5.6 u	9.6 	0 	11.0 u	: u	: u	50.3 u	: u	44.5 u	26.2 	0 u
PC,MV_AERO,FOR,F,Y_GE18,2014	24.7 	25.3 	: u	11.2 	51.2 	39.5 	9.2 	21.2 	12.6 	26.0 	14.4 	13.7 	12.7 	27.6 	12.2 	6.1 	32.2 	24.7 	51.6 	40.9 	13.9 	17.4 	: u	22.0 	19.9 	38.2 	42.2 	54.7 	50.2 	28.4 	2.8 
PC,MV_AERO,FOR,F,Y_GE65,2014	16.9 	17.2 	: u	3.0 	50.4 u	26.3 	5.2 	7.7 u	4.1 u	28.2 	7.0 	14.1 	8.2 	25.7 u	6.4 	1.2 	33.5 u	11.4 u	35.8 u	45.3 	95.1 	7.1 	: u	11.3 	8.3 u	: u	38.1 u	: u	34.9 u	19.1 	0 u
PC,MV_AERO,FOR,F,Y_GE75,2014	9.3 	9.6 	: u	2.2 u	: u	13.6 	4.3 	9.1 u	: u	17.2 u	0 	16.8 u	5.1 u	: u	6.4 	0 u	: u	: u	: u	37.3 	4.5 	4.9 u	: u	11.8 u	: u	: u	20.7 u	: u	: u	11.3 	0 u
PC,MV_AERO,FOR,M,TOTAL,2014	34.6 	35.4 	: u	22.7 	48.5 	45.4 	24.4 	36.5 	19.1 	40.7 	25.2 	16.1 	18.4 	31.0 	17.3 	14.1 	38.9 u	44.0 	43.8 	48.0 	20.3 	32.3 	0 	31.6 	32.3 u	48.1 	52.3 	56.9 	53.6 	39.2 	6.1 
PC,MV_AERO,FOR,M,Y15-24,2014	55.2 	55.7 	: u	: u	: u	58.7 	: u	: u	: u	56.1 	40.7 u	: u	45.5 	49.1 u	: u	: u	68.6 u	: u	: u	70.6 u	: u	67.3 	0 	: u	0 	: u	67.5 	: u	62.7 	58.7 u	: u
PC,MV_AERO,FOR,M,Y18-24,2014	53.5 	54.1 	: u	: u	: u	59.2 u	0 	: u	: u	52.7 	37.4 u	: u	43.4 	37.9 u	: u	: u	65.9 u	: u	: u	74.1 u	: u	65.0 u	0 	: u	0 	: u	72.5 	: u	62.5 	: u	: u
PC,MV_AERO,FOR,M,Y18-29,2014	49.4 	50.7 	: u	: u	52.7 u	55.0 	: u	57.2 u	34.6 u	51.4 	30.2 u	: u	33.3 	26.2 	: u	: u	56.9 u	: u	: u	73.6 	: u	55.6 	0 	51.0 u	: u	: u	70.1 	: u	69.3 	56.5 	: u
PC,MV_AERO,FOR,M,Y18-44,2014	38.5 	40.0 	: u	40.2 u	49.6 	50.2 	47.6 u	40.6 	27.2 	42.0 	26.4 	18.0 	19.5 	25.7 	31.6 u	: u	41.3 	48.7 u	41.5 u	53.1 	: u	34.9 	0 	37.7 	: u	46.6 u	57.2 	61.4 	55.4 	46.0 	7.7 
PC,MV_AERO,FOR,M,Y18-64,2014	34.6 	35.6 	: u	29.1 	47.4 	44.8 	28.1 	36.7 	19.3 	39.6 	26.0 	15.3 	17.3 	26.6 	20.3 	17.3 	37.8 	47.0 	42.0 	49.8 	43.3 u	31.3 	0 	33.5 	39.3 u	45.9 	51.8 	57.2 	53.9 	40.1 	6.7 
PC,MV_AERO,FOR,M,Y25-34,2014	42.3 	43.4 	: u	: u	42.4 u	54.9 	: u	45.9 u	26.6 u	48.3 	32.0 	9.3 u	15.9 	16.1 	: u	: u	41.4 	: u	: u	61.2 	: u	37.6 	0 	34.7 u	: u	: u	60.0 	64.0 u	60.2 	47.2 	5.5 u
PC,MV_AERO,FOR,M,Y25-64,2014	32.5 	33.7 	: u	30.7 	43.1 	43.5 	28.1 	34.9 	18.2 	37.3 	25.2 	14.0 	14.7 	25.2 	20.4 	15.9 	35.5 	45.4 u	40.5 	46.7 	44.7 u	27.9 	0 	31.6 	39.3 u	39.0 u	48.9 	57.7 	52.7 	38.7 	6.8 
PC,MV_AERO,FOR,M,Y35-44,2014	29.6 	31.8 	: u	: u	45.7 u	40.2 	50.7 u	32.4 	26.8 u	32.3 	20.0 	19.7 u	15.5 	30.6 	31.0 u	: u	34.5 	: u	27.6 u	37.1 	: u	24.9 	0 	33.2 u	: u	52.6 u	45.6 	62.1 u	47.6 	41.7 	11.1 u
PC,MV_AERO,FOR,M,Y45-54,2014	30.2 	30.2 	: u	: u	42.9 u	41.2 	18.8 	28.1 	5.4 u	34.2 	27.7 	15.4 	14.1 	33.5 	11.6 	: u	32.2 	: u	: u	36.2 	: u	27.3 	0 	36.2 u	: u	: u	44.8 	57.5 u	50.2 	30.2 	7.8 u
PC,MV_AERO,FOR,M,Y45-64,2014	28.9 	28.9 	: u	14.9 u	41.5 u	38.2 	22.0 	26.7 	7.2 	33.6 	25.6 	13.6 	13.1 	28.9 	17.1 	13.5 	32.2 u	44.3 u	42.6 u	42.5 	: u	25.3 	0 	29.9 	: u	: u	43.6 	49.6 u	49.1 	28.5 	5.4 
PC,MV_AERO,FOR,M,Y55-64,2014	27.0 	26.8 	: u	: u	: u	34.2 	24.2 	23.6 	11.2 u	32.2 	23.5 	11.9 	11.1 	20.5 u	20.2 	13.1 u	32.3 u	: u	45.6 u	57.2 	: u	20.6 	0 	24.8 	: u	: u	41.6 u	: u	46.9 u	25.6 	4.2 u
PC,MV_AERO,FOR,M,Y65-74,2014	32.4 	33.4 	0 	: u	35.0 u	51.2 	16.8 	1.9 u	: u	36.6 u	25.1 	22.9 u	19.2 u	55.3 u	13.4 	: u	48.4 u	: u	: u	38.5 	10.3 u	28.9 u	0 	23.1 	: u	: u	53.0 u	: u	36.9 u	40.6 	7.6 u
PC,MV_AERO,FOR,M,Y_GE18,2014	33.9 	34.7 	: u	22.7 	47.0 	45.2 	24.5 	34.4 	18.6 	39.5 	24.9 	16.1 	17.1 	28.9 	17.3 	14.1 	38.2 u	44.0 	42.5 	47.7 	20.5 	30.9 	0 	30.4 	32.3 u	43.8 	52.2 	55.7 	53.3 	38.8 	6.3 
PC,MV_AERO,FOR,M,Y_GE65,2014	29.4 	29.3 	: u	4.5 u	43.4 u	47.0 	17.7 	6.3 	: u	37.0 u	22.1 	18.9 u	13.2 u	48.9 u	12.3 	3.9 u	42.6 u	: u	45.9 u	36.1 	6.5 	22.9 	0 	19.1 	: u	: u	54.2 u	: u	40.2 u	28.9 	4.4 u
PC,MV_AERO,FOR,M,Y_GE75,2014	24.9 	23.6 	: u	: u	: u	41.5 	18.8 u	14.3 u	: u	: u	17.8 	12.6 u	: u	: u	10.9 	: u	: u	: u	: u	30.6 u	2.5 u	12.5 u	0 	10.9 u	: u	: u	55.9 u	: u	: u	17.4 	: u
PC,MV_AERO,FOR,T,TOTAL,2014	29.4 	30.1 	16.1 u	16.8 	50.2 	42.5 	15.3 	28.6 	16.1 	33.1 	19.6 	15.3 	15.2 	29.3 	14.0 	9.5 	35.6 	32.9 	47.3 	44.1 	16.4 	24.3 	: u	27.4 	24.5 	43.6 	48.0 	56.7 	52.2 	33.3 	4.4 
