state,fips state code,tribal name,data category,emissions type code,scc,reporting period,emissions operating type,pollutant code,pollutant desc,total emissions,emissions uom,data set
,,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",ON,,2201310080,A,R,SO2,Sulfur Dioxide,.12179,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201210080,A,R,123386,Propionaldehyde,.64018,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201000062,A,R,540841,"2,2,4-Trimethylpentane",10.25918,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202620080,A,R,106990,"1,3-Butadiene",.25035,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201520080,A,R,7439965,Manganese,.000109217,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201430080,A,R,100414,Ethyl Benzene,0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202520080,A,R,110543,Hexane,.1958124,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201420080,A,R,123386,Propionaldehyde,0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202510080,A,R,100425,Styrene,.00239494,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202320080,A,R,110543,Hexane,.0382694,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201610080,A,R,540841,"2,2,4-Trimethylpentane",.001442548,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202610080,A,R,540841,"2,2,4-Trimethylpentane",.0638282,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202540080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.0383018,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202320080,A,R,540841,"2,2,4-Trimethylpentane",11.3753,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201000062,A,R,540841,"2,2,4-Trimethylpentane",1434.548,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202420080,A,R,100425,Styrene,0,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201430080,A,R,107028,Acrolein,.00510408,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202540080,A,R,107028,Acrolein,.1024544,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202510080,A,R,CO,Carbon Monoxide,.0746428,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201000062,A,R,100414,Ethyl Benzene,94.9926,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201610080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),.000126405,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201310080,A,R,108883,Toluene,4262.78,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201310080,A,R,107028,Acrolein,74.0354,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201530080,A,R,50000,Formaldehyde,1.315302,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201530080,A,R,7439965,Manganese,.0001191386,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201610080,A,R,1330207,Xylenes (Mixed Isomers),.1777806,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202410080,A,R,75070,Acetaldehyde,.0861286,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202520080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),1.49802,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202430080,A,R,107028,Acrolein,1.8443,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202510080,A,R,7439965,Manganese,.000771796,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201210080,A,R,SO2,Sulfur Dioxide,.181494,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201210080,A,R,71432,Benzene,1519.39,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201510080,A,R,75070,Acetaldehyde,.00221234,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201310080,A,R,VOC,Volatile Organic Compounds,1.31243,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202620080,A,R,CH4,Methane,.00334579,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202620080,A,R,SO2,Sulfur Dioxide,.00177592,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201530080,A,R,110543,Hexane,.0460662,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201520080,A,R,110543,Hexane,1.359376,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201540080,A,R,N2O,Nitrous Oxide,.000194181,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201320080,A,R,NH3,Ammonia,.000448006,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202210080,A,R,N2O,Nitrous Oxide,.00000450204,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202520080,A,R,SO2,Sulfur Dioxide,.000649841,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202520080,A,R,100414,Ethyl Benzene,.257816,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201420080,A,R,106990,"1,3-Butadiene",0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202540080,A,R,100425,Styrene,.00239956,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202510080,A,R,540841,"2,2,4-Trimethylpentane",.0043382,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2203420080,A,R,7439965,Manganese,0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2203420080,A,R,110543,Hexane,0,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201420080,A,R,CO,Carbon Monoxide,.00321033,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202510080,A,R,CH4,Methane,.00901202,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202320080,A,R,71432,Benzene,45.216,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201210080,A,R,106990,"1,3-Butadiene",495.648,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201210080,A,R,7439965,Manganese,.1855572,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202210080,A,R,75070,Acetaldehyde,172.0516,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2203420080,A,R,NOX,Nitrogen Oxides,.00344064,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202310080,A,R,CO,Carbon Monoxide,222.857,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202310080,A,R,108883,Toluene,255.574,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201530080,A,R,SO2,Sulfur Dioxide,.00194597,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202430080,A,R,106990,"1,3-Butadiene",1.974604,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201430080,A,R,50000,Formaldehyde,.1053882,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202530080,A,R,75070,Acetaldehyde,3.3855,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202210080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),.0082046,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202520080,A,R,CO,Carbon Monoxide,2.52257,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202420080,A,R,540841,"2,2,4-Trimethylpentane",0,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201320080,A,R,CH4,Methane,.0230122,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201610080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.000106208,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2203420080,A,R,110543,Hexane,0,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202620080,A,R,110543,Hexane,53.9188,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201530080,A,R,107028,Acrolein,.020784,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201530080,A,R,NOX,Nitrogen Oxides,.060187,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201430080,A,R,100425,Styrene,.00283554,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201610080,A,R,110543,Hexane,.0547084,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202410080,A,R,106990,"1,3-Butadiene",.00706724,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202410080,A,R,107028,Acrolein,.01603862,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201320080,A,R,100425,Styrene,4.3805,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202530080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.0726239,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202510080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.0307682,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201540080,A,R,106990,"1,3-Butadiene",4.82974,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201540080,A,R,NOX,Nitrogen Oxides,1.92815,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201510080,A,R,110543,Hexane,.1589872,LB,2014NEIV2
,,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",ON,,2202520080,A,R,VOC,Volatile Organic Compounds,2.73598,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201520080,A,R,SO2,Sulfur Dioxide,.000700723,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202430080,A,R,50000,Formaldehyde,.26785,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202210080,A,R,CO,Carbon Monoxide,.0289125,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202520080,A,R,1330207,Xylenes (Mixed Isomers),.547668,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201420080,A,R,7439965,Manganese,0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202540080,A,R,1330207,Xylenes (Mixed Isomers),.00793894,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2203420080,A,R,CO,Carbon Monoxide,0,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202320080,A,R,100425,Styrene,.0220812,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202310080,A,R,N2O,Nitrous Oxide,.000266293,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201110080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.0597792,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201540080,A,R,CH4,Methane,.0895348,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201210080,A,R,NH3,Ammonia,2.59799,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202310080,A,R,71432,Benzene,411.588,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201530080,A,R,CH4,Methane,.00673217,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201510080,A,R,540841,"2,2,4-Trimethylpentane",.545796,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201430080,A,R,SO2,Sulfur Dioxide,.0000256878,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202320080,A,R,CO,Carbon Monoxide,1.61744,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202320080,A,R,123386,Propionaldehyde,2.0438,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202510080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.0114624,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202420080,A,R,NH3,Ammonia,0,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201210080,A,R,106990,"1,3-Butadiene",106.7318,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201610080,A,R,1330207,Xylenes (Mixed Isomers),.1800062,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201610080,A,R,100425,Styrene,.00201888,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201530080,A,R,SO2,Sulfur Dioxide,.000201703,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201530080,A,R,75070,Acetaldehyde,.414846,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201430080,A,R,VOC,Volatile Organic Compounds,.00167563,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201420080,A,R,123386,Propionaldehyde,.00051724,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201430080,A,R,100425,Styrene,.039772,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202430080,A,R,123386,Propionaldehyde,1.250424,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202430080,A,R,106990,"1,3-Butadiene",.76443,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202540080,A,R,VOC,Volatile Organic Compounds,.0377886,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202510080,A,R,108883,Toluene,.477176,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202510080,A,R,50000,Formaldehyde,6.88006,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202000062,A,R,100414,Ethyl Benzene,3.64574,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201540080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),.0433565,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201110080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),.0271013,TON,2014NEIV2
,,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",ON,,2202620080,A,R,SO2,Sulfur Dioxide,.0406267,TON,2014NEIV2
,,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",ON,,2202520080,A,R,CO,Carbon Monoxide,9.34573,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202530080,A,R,71432,Benzene,.046824,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202620080,A,R,108883,Toluene,.54504,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201430080,A,R,106990,"1,3-Butadiene",0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202420080,A,R,VOC,Volatile Organic Compounds,0,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202420080,A,R,106990,"1,3-Butadiene",0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201320080,A,R,107028,Acrolein,.0303796,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202430080,A,R,107028,Acrolein,.0200794,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201420080,A,R,50000,Formaldehyde,0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2203420080,A,R,106990,"1,3-Butadiene",0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201610080,A,R,50000,Formaldehyde,.00060768,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201610080,A,R,CH4,Methane,.00000206223,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201420080,A,R,108883,Toluene,.0118572,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202510080,A,R,NH3,Ammonia,.00762506,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202000062,A,R,1330207,Xylenes (Mixed Isomers),39.3338,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201210080,A,R,CO,Carbon Monoxide,629.382,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201610080,A,R,100425,Styrene,.00562764,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201530080,A,R,NOX,Nitrogen Oxides,.571002,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201530080,A,R,123386,Propionaldehyde,.224104,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201320080,A,R,100414,Ethyl Benzene,168.1308,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202410080,A,R,71432,Benzene,.0220896,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202610080,A,R,7439965,Manganese,.0318258,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201430080,A,R,71432,Benzene,.300516,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201320080,A,R,123386,Propionaldehyde,.943522,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201320080,A,R,SO2,Sulfur Dioxide,.00455901,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201510080,A,R,CO,Carbon Monoxide,.0580613,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201610080,A,R,SO2,Sulfur Dioxide,.00000751791,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202430080,A,R,108883,Toluene,.386826,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202430080,A,R,540841,"2,2,4-Trimethylpentane",.142759,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201420080,A,R,110543,Hexane,.0294864,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201310080,A,R,1330207,Xylenes (Mixed Isomers),2995.32,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201310080,A,R,1330207,Xylenes (Mixed Isomers),8869.32,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202520080,A,R,N2O,Nitrous Oxide,.0105334,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202320080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.210494,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202320080,A,R,N2O,Nitrous Oxide,.00280412,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201320080,A,R,50000,Formaldehyde,54.0806,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201320080,A,R,75070,Acetaldehyde,54.0448,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202430080,A,R,50000,Formaldehyde,23.1156,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202540080,A,R,123386,Propionaldehyde,.350656,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2203420080,A,R,110543,Hexane,0,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202610080,A,R,SO2,Sulfur Dioxide,.0207599,TON,2014NEIV2
,,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",ON,,2202510080,A,R,VOC,Volatile Organic Compounds,.142727,TON,2014NEIV2
,,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",ON,,2202320080,A,R,VOC,Volatile Organic Compounds,.123475,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201110080,A,R,N2O,Nitrous Oxide,.0000602226,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201110080,A,R,CO,Carbon Monoxide,.342138,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201210080,A,R,VOC,Volatile Organic Compounds,.556286,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201430080,A,R,N2O,Nitrous Oxide,0,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201540080,A,R,CH4,Methane,.000712317,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202210080,A,R,50000,Formaldehyde,.530372,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202540080,A,R,NH3,Ammonia,.00002227,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201610080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),.00000263283,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202610080,A,R,SO2,Sulfur Dioxide,.00049325,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202620080,A,R,1330207,Xylenes (Mixed Isomers),64.112,LB,2014NEIV2
