ApplNo	ProductNo	Form	Strength	ReferenceDrug	DrugName	ActiveIngredient	ReferenceStandard
002139	003	TABLET;ORAL	5MG	0	MENADIONE	MENADIONE	0
002282	001	INJECTABLE;INJECTION	100MG/ML	0	INULIN AND SODIUM CHLORIDE	INULIN	0
002386	002	TABLET;ORAL	100MG	0	AMINOPHYLLIN	AMINOPHYLLINE	0
002386	003	TABLET;ORAL	200MG	0	AMINOPHYLLIN	AMINOPHYLLINE	0
002918	001	POWDER;TOPICAL	33.32%	0	BENSULFOID	SULFUR	0
003158	001	TABLET;ORAL	10MG	0	ORETON METHYL	METHYLTESTOSTERONE	0
003158	002	TABLET;ORAL	25MG	0	ORETON METHYL	METHYLTESTOSTERONE	0
003240	001	TABLET;BUCCAL, SUBLINGUAL	10MG	0	METANDREN	METHYLTESTOSTERONE	0
003240	003	TABLET;BUCCAL, SUBLINGUAL	25MG	0	METANDREN	METHYLTESTOSTERONE	0
003240	004	TABLET;BUCCAL, SUBLINGUAL	5MG	0	METANDREN	METHYLTESTOSTERONE	0
003240	005	TABLET;BUCCAL, SUBLINGUAL	10MG	0	METANDREN	METHYLTESTOSTERONE	0
003402	001	INJECTABLE;INJECTION	5PRESSOR UNITS/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	PITRESSIN TANNATE	VASOPRESSIN TANNATE	0
003444	001	CAPSULE;ORAL	50,000 IU	1	DRISDOL	ERGOCALCIFEROL	1
003718	004	INJECTABLE;INJECTION	5MG/ML	0	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE	0
003718	006	INJECTABLE;INJECTION	10MG/ML	0	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE	0
003718	008	INJECTABLE;INJECTION	37.5MG/ML	0	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE	0
003718	010	TABLET;ORAL	5MG	0	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE	0
003977	001	INJECTABLE;INJECTION	1MG/ML	0	THEELIN	ESTRONE	0
003977	002	INJECTABLE;INJECTION	2MG/ML	0	THEELIN	ESTRONE	0
003977	003	INJECTABLE;INJECTION	5MG/ML	0	THEELIN	ESTRONE	0
004039	002	TABLET, DELAYED RELEASE;ORAL	0.1MG	0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	0
004039	003	TABLET, DELAYED RELEASE;ORAL	0.5MG	0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	0
004039	004	TABLET, DELAYED RELEASE;ORAL	1MG	0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	0
004039	005	TABLET, DELAYED RELEASE;ORAL	0.25MG	0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	0
004039	006	TABLET, DELAYED RELEASE;ORAL	5MG	0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	0
004040	001	SUPPOSITORY;VAGINAL	0.1MG	0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	0
004040	002	SUPPOSITORY;VAGINAL	0.5MG	0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	0
004041	002	TABLET;ORAL	0.1MG	0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	0
004041	003	TABLET;ORAL	0.5MG	0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	0
004041	004	TABLET;ORAL	1MG	0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	0
004041	005	TABLET;ORAL	5MG	0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	0
004054	001	TABLET;ORAL	500MG	0	SULFADIAZINE	SULFADIAZINE	0
004054	002	INJECTABLE;INJECTION	250MG/ML	0	SULFADIAZINE SODIUM	SULFADIAZINE SODIUM	0
004056	001	SUPPOSITORY;VAGINAL	0.1MG	0	STILBESTROL	DIETHYLSTILBESTROL	0
004056	002	SUPPOSITORY;VAGINAL	0.5MG	0	STILBESTROL	DIETHYLSTILBESTROL	0
004056	003	INJECTABLE;INJECTION	0.2MG/ML	0	STILBESTROL	DIETHYLSTILBESTROL	0
004056	004	INJECTABLE;INJECTION	0.5MG/ML	0	STILBESTROL	DIETHYLSTILBESTROL	0
004056	005	INJECTABLE;INJECTION	1MG/ML	0	STILBESTROL	DIETHYLSTILBESTROL	0
004056	006	INJECTABLE;INJECTION	5MG/ML	0	STILBESTROL	DIETHYLSTILBESTROL	0
004056	007	TABLET;ORAL	0.1MG	0	STILBETIN	DIETHYLSTILBESTROL	0
004056	008	TABLET;ORAL	0.5MG	0	STILBETIN	DIETHYLSTILBESTROL	0
004056	009	TABLET;ORAL	1MG	0	STILBETIN	DIETHYLSTILBESTROL	0
004056	010	TABLET;ORAL	5MG	0	STILBETIN	DIETHYLSTILBESTROL	0
004056	011	TABLET, DELAYED RELEASE;ORAL	0.1MG	0	STILBETIN	DIETHYLSTILBESTROL	0
004056	012	TABLET, DELAYED RELEASE;ORAL	0.5MG	0	STILBETIN	DIETHYLSTILBESTROL	0
004056	013	TABLET, DELAYED RELEASE;ORAL	1MG	0	STILBETIN	DIETHYLSTILBESTROL	0
004056	014	TABLET, DELAYED RELEASE;ORAL	5MG	0	STILBETIN	DIETHYLSTILBESTROL	0
004056	017	TABLET;ORAL	0.25MG	0	STILBETIN	DIETHYLSTILBESTROL	0
004122	002	TABLET;ORAL	500MG	1	SULFADIAZINE	SULFADIAZINE	0
004125	005	TABLET;ORAL	300MG	0	SULFADIAZINE	SULFADIAZINE	0
004570	001	INJECTABLE;INJECTION	1,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
004570	002	INJECTABLE;INJECTION	5,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
004570	003	INJECTABLE;INJECTION	10,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
004589	004	INJECTABLE;INJECTION	5ML/100ML;5GM/100ML	0	ALCOHOL 5% AND DEXTROSE 5%	ALCOHOL; DEXTROSE	0
004589	006	INJECTABLE;INJECTION	10ML/100ML;5GM/100ML	0	ALCOHOL 10% AND DEXTROSE 5%	ALCOHOL; DEXTROSE	0
004782	001	TABLET;ORAL	1.25MG	1	PREMARIN	ESTROGENS, CONJUGATED	1
004782	002	TABLET;ORAL	2.5MG	0	PREMARIN	ESTROGENS, CONJUGATED	0
004782	003	TABLET;ORAL	0.3MG	1	PREMARIN	ESTROGENS, CONJUGATED	0
004782	004	TABLET;ORAL	0.625MG	1	PREMARIN	ESTROGENS, CONJUGATED	1
004782	005	TABLET;ORAL	0.9MG	1	PREMARIN	ESTROGENS, CONJUGATED	1
004782	006	TABLET;ORAL	0.45MG	1	PREMARIN	ESTROGENS, CONJUGATED	0
005010	001	TABLET;ORAL	50MG	1	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005010	002	INJECTABLE;INJECTION	50MG/ML	0	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005010	003	INJECTABLE;INJECTION	100MG/ML	0	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005010	004	TABLET;ORAL	100MG	1	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005010	005	SYRUP;ORAL	50MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	0	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005010	007	INJECTABLE;INJECTION	25MG/ML	0	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005010	009	INJECTABLE;INJECTION	75MG/ML	0	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005151	001	PELLET;IMPLANTATION	125MG	0	PERCORTEN	DESOXYCORTICOSTERONE ACETATE	0
005213	001	TABLET;ORAL	1.5MG;5MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	HYCODAN	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE	0
005213	002	SYRUP;ORAL	1.5MG/5ML;5MG/5ML	1	HYCODAN	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE	0
005264	004	INJECTABLE;INJECTION	1,000 UNITS/ML	0	PANHEPRIN	HEPARIN SODIUM	0
005264	006	INJECTABLE;INJECTION	5,000 UNITS/ML	0	PANHEPRIN	HEPARIN SODIUM	0
005264	007	INJECTABLE;INJECTION	10,000 UNITS/ML	0	PANHEPRIN	HEPARIN SODIUM	0
005264	008	INJECTABLE;INJECTION	20,000 UNITS/ML	0	PANHEPRIN	HEPARIN SODIUM	0
005264	009	INJECTABLE;INJECTION	40,000 UNITS/ML	0	PANHEPRIN	HEPARIN SODIUM	0
005264	010	INJECTABLE;INJECTION	100 UNITS/ML	0	HEPARIN LOCK FLUSH	HEPARIN SODIUM	0
005264	013	INJECTABLE;INJECTION	2,000 UNITS/ML	0	HEPARIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	0
005264	014	INJECTABLE;INJECTION	2,500 UNITS/ML	0	HEPARIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	0
005292	001	TABLET;ORAL	0.02MG	0	ESTINYL	ETHINYL ESTRADIOL	0
005292	002	TABLET;ORAL	0.05MG	0	ESTINYL	ETHINYL ESTRADIOL	0
005292	003	TABLET;ORAL	0.5MG	0	ESTINYL	ETHINYL ESTRADIOL	0
005319	001	INJECTABLE;INJECTION	100%	0	PANTOPAQUE	IOPHENDYLATE	0
005378	002	TABLET;ORAL	5MG	1	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE	1
005378	003	TABLET, EXTENDED RELEASE;ORAL	10MG	0	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE	0
005378	004	TABLET, EXTENDED RELEASE;ORAL	5MG	0	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE	0
005378	005	TABLET, EXTENDED RELEASE;ORAL	15MG	0	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE	0
005490	002	TABLET;ORAL	0.05MG	0	LYNORAL	ETHINYL ESTRADIOL	0
005490	003	TABLET;ORAL	0.01MG	0	LYNORAL	ETHINYL ESTRADIOL	0
005509	001	CAPSULE;ORAL	50MG	0	DICUMAROL	DICUMAROL	0
005509	003	CAPSULE;ORAL	25MG	0	DICUMAROL	DICUMAROL	0
005521	001	INJECTABLE;INJECTION	1,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
005521	002	INJECTABLE;INJECTION	10,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
005521	004	INJECTABLE;INJECTION	20,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
005545	003	TABLET;ORAL	25MG	0	DICUMAROL	DICUMAROL	0
005545	004	TABLET;ORAL	50MG	0	DICUMAROL	DICUMAROL	0
005545	005	TABLET;ORAL	100MG	0	DICUMAROL	DICUMAROL	0
005619	001	INJECTABLE;INJECTION	20%	0	AMINOHIPPURATE SODIUM	AMINOHIPPURATE SODIUM	0
005620	001	INJECTABLE;INJECTION	12.5GM/50ML	0	MANNITOL 25%	MANNITOL	0
005657	001	INJECTABLE;INJECTION	3MG/ML	0	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE	0
005691	002	TABLET;ORAL	130CSR UNIT	0	VERTAVIS	VERATRUM VIRIDE ROOT	0
005725	001	INJECTABLE;INJECTION	10MG/ML	0	KAPPADIONE	MENADIOL SODIUM DIPHOSPHATE	0
005794	001	CREAM;VAGINAL	3.7%;2.86%;3.42%	0	SULTRIN	TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)	0
005794	002	TABLET;VAGINAL	184MG;143.75MG;172.5MG	0	SULTRIN	TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)	0
005795	001	OINTMENT;TOPICAL	0.2%	0	FURACIN	NITROFURAZONE	0
005845	001	CAPSULE;ORAL	50MG	0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	0
005845	004	ELIXIR;ORAL	12.5MG/5ML	0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	0
005845	007	CAPSULE;ORAL	25MG	0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	0
005856	002	SOLUTION;ORAL	200MG/5ML	0	TRIDIONE	TRIMETHADIONE	0
005856	005	CAPSULE;ORAL	300MG	0	TRIDIONE	TRIMETHADIONE	0
005856	009	TABLET;ORAL	150MG	1	TRIDIONE	TRIMETHADIONE	0
005897	004	TABLET;ORAL	1MG	0	FOLVITE	FOLIC ACID	0
005897	008	INJECTABLE;INJECTION	5MG/ML	1	FOLVITE	FOLIC ACID	0
005914	002	TABLET;ORAL	50MG	0	PBZ	TRIPELENNAMINE HYDROCHLORIDE	0
005914	004	ELIXIR;ORAL	EQ 25MG HYDROCHLORIDE/5ML	0	PBZ	TRIPELENNAMINE CITRATE	0
005929	001	INJECTABLE;INJECTION	1MG/ML	1	D.H.E. 45	DIHYDROERGOTAMINE MESYLATE	1
005932	012	INJECTABLE;INJECTION	5%	0	AMINOSOL 5%	PROTEIN HYDROLYSATE	0
005939	001	INJECTABLE;INJECTION	10%	1	BAL	DIMERCAPROL	1
005963	001	SOLUTION/DROPS;OPHTHALMIC	10% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	SODIUM SULAMYD	SULFACETAMIDE SODIUM	0
005963	002	OINTMENT;OPHTHALMIC	10% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	SODIUM SULAMYD	SULFACETAMIDE SODIUM	0
005963	003	SOLUTION/DROPS;OPHTHALMIC	30% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	SODIUM SULAMYD	SULFACETAMIDE SODIUM	0
005970	004	INJECTABLE;INJECTION	1% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	SOTRADECOL	SODIUM TETRADECYL SULFATE	0
005970	005	INJECTABLE;INJECTION	3% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	SOTRADECOL	SODIUM TETRADECYL SULFATE	0
006002	001	TABLET;ORAL	500MG	1	ARALEN	CHLOROQUINE PHOSPHATE	0
006002	002	INJECTABLE;INJECTION	EQ 40MG BASE/ML	0	ARALEN HYDROCHLORIDE	CHLOROQUINE HYDROCHLORIDE	0
006008	001	TABLET;ORAL	100MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	MESANTOIN	MEPHENYTOIN	0
006012	003	CAPSULE;ORAL	182MG;0.33MG	0	FOLVRON	FERROUS SULFATE; FOLIC ACID	0
006035	003	TABLET;ORAL	0.2MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	METHERGINE	METHYLERGONOVINE MALEATE	0
006035	004	INJECTABLE;INJECTION	0.2MG/ML	1	METHERGINE	METHYLERGONOVINE MALEATE	1
006044	003	TABLET, DELAYED RELEASE;ORAL	165MG	0	DIASONE SODIUM	SULFOXONE SODIUM	0
006071	003	INJECTABLE;INJECTION	50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1,650 IU/ML;5 IU/ML	0	BEROCCA PN	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E	0
006095	001	INJECTABLE;INJECTION	3MG/ML	0	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE	0
006110	005	CREAM;VAGINAL	0.01%	0	DIENESTROL	DIENESTROL	0
006134	002	TABLET;ORAL	5MG	1	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	1
006134	004	SYRUP;ORAL	10MG/30ML	0	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	0
006134	010	TABLET;ORAL	10MG	1	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	1
006135	003	TABLET;ORAL	1MG	0	FOLIC ACID	FOLIC ACID	0
006146	001	INJECTABLE;INJECTION	10MG/ML	0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	0
006146	002	INJECTABLE;INJECTION	50MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	0
006170	003	INJECTABLE;INJECTION	5%	0	HYPROTIGEN 5%	PROTEIN HYDROLYSATE	0
006188	001	TABLET;ORAL	50MG	1	PROPYLTHIOURACIL	PROPYLTHIOURACIL	1
006203	001	INJECTABLE;INJECTION	2.5MG/ML	0	HEAVY SOLUTION NUPERCAINE	DIBUCAINE HYDROCHLORIDE	0
006213	001	TABLET;ORAL	50MG	0	PROPYLTHIOURACIL	PROPYLTHIOURACIL	0
006270	003	SOAP;TOPICAL	2%	0	GAMOPHEN	HEXACHLOROPHENE	0
006309	001	CREAM;TOPICAL	1%	0	KWELL	LINDANE	0
006309	003	LOTION;TOPICAL	1%	0	KWELL	LINDANE	0
006317	007	SUSPENSION;ORAL	250MG/5ML;250MG/5ML	0	SULFONAMIDES DUPLEX	SULFADIAZINE; SULFAMERAZINE	0
006317	011	TABLET;ORAL	167MG;167MG;167MG	0	NEOTRIZINE	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)	0
006317	012	SUSPENSION;ORAL	167MG/5ML;167MG/5ML;167MG/5ML	0	NEOTRIZINE	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)	0
006325	001	INJECTABLE;INJECTION	3MG/ML	0	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE	0
006327	002	SOLUTION;INHALATION	0.5%	0	ISUPREL	ISOPROTERENOL HYDROCHLORIDE	0
006327	003	SOLUTION;INHALATION	1%	0	ISUPREL	ISOPROTERENOL HYDROCHLORIDE	0
006328	001	TABLET;RECTAL, SUBLINGUAL	10MG	0	ISUPREL	ISOPROTERENOL HYDROCHLORIDE	0
006328	002	TABLET;RECTAL, SUBLINGUAL	15MG	0	ISUPREL	ISOPROTERENOL HYDROCHLORIDE	0
006333	008	ELIXIR;ORAL	EQ 165MG BASE/15ML	0	SYNOPHYLATE	THEOPHYLLINE SODIUM GLYCINATE	0
006383	002	POWDER;FOR RX COMPOUNDING	50GM/BOT	0	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	0
006383	003	POWDER;FOR RX COMPOUNDING	100GM/BOT	0	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	0
006383	004	POWDER;FOR RX COMPOUNDING	500GM/BOT	0	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	0
006403	005	INJECTABLE;INJECTION	25MG/ML	0	PRISCOLINE	TOLAZOLINE HYDROCHLORIDE	0
006412	014	TABLET;ORAL	25MG	0	DECAPRYN	DOXYLAMINE SUCCINATE	0
006412	015	TABLET;ORAL	12.5MG	0	DECAPRYN	DOXYLAMINE SUCCINATE	0
006441	001	TABLET;ORAL	EQ 200MG BASE	0	CAMOQUIN HYDROCHLORIDE	AMODIAQUINE HYDROCHLORIDE	0
006459	001	TABLET;ORAL	50MG	0	HETRAZAN	DIETHYLCARBAMAZINE CITRATE	0
006460	002	INJECTABLE;INJECTION	10MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	PROTAMINE SULFATE	PROTAMINE SULFATE	0
006470	001	INJECTABLE;INJECTION	EQ 90MG CALCIUM/5ML	0	CALCIUM GLUCEPTATE	CALCIUM GLUCEPTATE	0
006488	002	INJECTABLE;INJECTION	2%	1	XYLOCAINE	LIDOCAINE HYDROCHLORIDE	1
006488	003	INJECTABLE;INJECTION	0.01MG/ML;2%	0	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	0
006488	004	INJECTABLE;INJECTION	0.01MG/ML;1%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	1
006488	005	INJECTABLE;INJECTION	0.02MG/ML;2%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	1
006488	007	INJECTABLE;INJECTION	1%	1	XYLOCAINE	LIDOCAINE HYDROCHLORIDE	1
006488	008	INJECTABLE;INJECTION	0.5%	1	XYLOCAINE	LIDOCAINE HYDROCHLORIDE	1
006488	010	INJECTABLE;INJECTION	1.5%	1	XYLOCAINE	LIDOCAINE HYDROCHLORIDE	1
006488	012	INJECTABLE;INJECTION	0.005MG/ML;0.5%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	1
006488	017	INJECTABLE;INJECTION	0.005MG/ML;1.5%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	1
006488	018	INJECTABLE;INJECTION	0.005MG/ML;1%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	1
006488	019	INJECTABLE;INJECTION	0.005MG/ML;2%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	1
006514	004	SYRUP;ORAL	12.5MG/5ML	0	BENYLIN	DIPHENHYDRAMINE HYDROCHLORIDE	0
006525	001	TABLET;ORAL	500MG	0	GANTRISIN	SULFISOXAZOLE	0
006530	003	CREAM;VAGINAL	15%	1	AVC	SULFANILAMIDE	1
006530	004	SUPPOSITORY;VAGINAL	1.05GM	0	AVC	SULFANILAMIDE	0
006536	001	INJECTABLE;INJECTION	5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	URECHOLINE	BETHANECHOL CHLORIDE	0
006536	002	TABLET;ORAL	10MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	URECHOLINE	BETHANECHOL CHLORIDE	0
006536	003	TABLET;ORAL	5MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	URECHOLINE	BETHANECHOL CHLORIDE	0
006536	004	TABLET;ORAL	25MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	URECHOLINE	BETHANECHOL CHLORIDE	0
006536	005	TABLET;ORAL	50MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	URECHOLINE	BETHANECHOL CHLORIDE	0
006580	001	INJECTABLE;INJECTION	900MG/100ML	0	AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE	AMMONIUM CHLORIDE	0
006620	001	TABLET;ORAL	100MG;1MG	0	CAFERGOT	CAFFEINE; ERGOTAMINE TARTRATE	0
006632	003	INJECTABLE;INJECTION	2MG/ML	0	METUBINE IODIDE	METOCURINE IODIDE	0
006668	010	INJECTABLE;INJECTION	1MG/ML	0	REDISOL	CYANOCOBALAMIN	0
006695	001	INJECTABLE;INJECTION	10MG/VIAL	1	MUSTARGEN	MECHLORETHAMINE HYDROCHLORIDE	0
006772	001	INJECTABLE;INJECTION	20MG/ML	0	VASOXYL	METHOXAMINE HYDROCHLORIDE	0
006772	002	INJECTABLE;INJECTION	10MG/ML	0	VASOXYL	METHOXAMINE HYDROCHLORIDE	0
006773	003	TABLET;ORAL	5MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE	0
006773	005	TABLET;ORAL	2MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE	0
006773	009	ELIXIR;ORAL	2MG/5ML	0	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE	0
006773	010	CAPSULE, EXTENDED RELEASE;ORAL	5MG	0	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE	0
006798	001	INJECTABLE;INJECTION	1MG/ML	0	BERUBIGEN	CYANOCOBALAMIN	0
006799	002	INJECTABLE;INJECTION	0.1MG/ML	0	RUBRAMIN PC	CYANOCOBALAMIN	0
006799	004	INJECTABLE;INJECTION	1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	RUBRAMIN PC	CYANOCOBALAMIN	0
006799	010	INJECTABLE;INJECTION	1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	1	RUBRAMIN PC	CYANOCOBALAMIN	0
006800	001	CAPSULE;ORAL	300MG	0	PARADIONE	PARAMETHADIONE	0
006800	002	SOLUTION;ORAL	300MG/ML	0	PARADIONE	PARAMETHADIONE	0
